dds75-lb-001             |   184 rec | last: 2025-09-18 13:24:04Z | OK
dds75-lb-02              |   184 rec | last: 2025-09-18 13:28:00Z | OK
dds75-lb-03              |   184 rec | last: 2025-09-18 13:22:04Z | OK
dds75-lb-04              |   185 rec | last: 2025-09-18 13:24:26Z | OK
dds75-lb-05              |     0 rec | last: –                    | NO DATA
dds75-lb-06              |   185 rec | last: 2025-09-18 13:28:44Z | OK
dds75-lb-07              |   185 rec | last: 2025-09-18 13:25:17Z | OK
dds75-lb-08              |   184 rec | last: 2025-09-18 13:25:01Z | OK
dds75-lb-09              |   185 rec | last: 2025-09-18 13:25:03Z | OK
dds75-lb-10              |   185 rec | last: 2025-09-18 13:25:48Z | OK
dds75-lb-11              |   184 rec | last: 2025-09-18 13:25:28Z | OK
dds75-lb-12              |   183 rec | last: 2025-09-18 13:26:32Z | OK
dds75-lb-13              |   185 rec | last: 2025-09-18 13:27:45Z | OK
dds75-lb-14              |   186 rec | last: 2025-09-18 13:42:34Z | OK
dds75-lb-15              |   185 rec | last: 2025-09-18 13:23:35Z | OK
dds75-lb-16              |   184 rec | last: 2025-09-18 13:41:13Z | OK
dds75-lb-17              |   185 rec | last: 2025-09-18 13:24:06Z | OK
dds75-lb-18              |   185 rec | last: 2025-09-18 13:41:42Z | OK
dds75-lb-19              |   185 rec | last: 2025-09-18 13:26:15Z | OK
dds75-lb-20              |    61 rec | last: 2025-09-18 13:24:01Z | OK
dds75-lb-21              |    61 rec | last: 2025-09-18 13:24:11Z | OK
ps-lb-01                 |   236 rec | last: 2025-09-18 13:43:42Z | OK
ps-lb-02                 |   250 rec | last: 2025-09-18 13:40:38Z | OK
ps-lb-03                 |   254 rec | last: 2025-09-18 13:40:46Z | OK
ps-lb-04                 |   256 rec | last: 2025-09-18 13:40:12Z | OK
ps-lb-05                 |   256 rec | last: 2025-09-18 13:40:29Z | OK
ps-lb-06                 |   236 rec | last: 2025-09-18 13:40:11Z | OK
ps-lb-07                 |   255 rec | last: 2025-09-18 13:40:25Z | OK
ps-lb-08                 |   256 rec | last: 2025-09-18 13:39:59Z | OK
ps-lb-09                 |   256 rec | last: 2025-09-18 13:39:57Z | OK
ps-lb-10                 |   257 rec | last: 2025-09-18 13:40:32Z | OK
ps-lb-11                 |   257 rec | last: 2025-09-18 13:40:31Z | OK
ps-lb-12                 |   255 rec | last: 2025-09-18 13:40:01Z | OK
ps-lb-13                 |   419 rec | last: 2025-09-18 13:46:01Z | OK
ps-lb-14                 |   257 rec | last: 2025-09-18 13:40:36Z | OK
ps-lb-15                 |   256 rec | last: 2025-09-18 13:40:28Z | OK
ps-lb-16                 |   259 rec | last: 2025-09-18 13:40:28Z | OK
ps-lb-17                 |   335 rec | last: 2025-09-18 13:46:26Z | OK
ps-lb-18                 |   172 rec | last: 2025-09-18 13:42:38Z | OK
ps-lb-19                 |   276 rec | last: 2025-09-18 13:41:02Z | OK
ps-lb-20                 |   280 rec | last: 2025-09-18 13:44:33Z | OK
ps-lb-21                 |   111 rec | last: 2025-09-18 13:39:38Z | OK
sensecap-01              |     0 rec | last: –                    | NO DATA
