received_at,device_id,f_port,rssi,snr,payload_json
2025-09-18 00:04:20.612884018+00:00,dds75-lb-21,2,-35,10.5,"{""Bat"": 3.333, ""Distance_mm"": 721, ""Interrupt_flag"": 0, ""Node_type"": ""DDS75-LB"", ""Sensor_flag"": 1, ""TempC_DS18B20"": 32.76}"
2025-09-18 00:24:20.401136735+00:00,dds75-lb-21,2,-38,9.25,"{""Bat"": 3.333, ""Distance_mm"": 721, ""Interrupt_flag"": 0, ""Node_type"": ""DDS75-LB"", ""Sensor_flag"": 1, ""TempC_DS18B20"": 32.76}"
2025-09-18 00:44:20.173925239+00:00,dds75-lb-21,2,-38,9.75,"{""Bat"": 3.333, ""Distance_mm"": 720, ""Interrupt_flag"": 0, ""Node_type"": ""DDS75-LB"", ""Sensor_flag"": 1, ""TempC_DS18B20"": 32.76}"
2025-09-18 01:04:19.960356559+00:00,dds75-lb-21,2,-38,9.25,"{""Bat"": 3.333, ""Distance_mm"": 720, ""Interrupt_flag"": 0, ""Node_type"": ""DDS75-LB"", ""Sensor_flag"": 1, ""TempC_DS18B20"": 32.76}"
2025-09-18 01:24:19.733631166+00:00,dds75-lb-21,2,-41,10.0,"{""Bat"": 3.333, ""Distance_mm"": 721, ""Interrupt_flag"": 0, ""Node_type"": ""DDS75-LB"", ""Sensor_flag"": 1, ""TempC_DS18B20"": 32.76}"
2025-09-18 01:44:19.503176805+00:00,dds75-lb-21,2,-34,7.5,"{""Bat"": 3.333, ""Distance_mm"": 721, ""Interrupt_flag"": 0, ""Node_type"": ""DDS75-LB"", ""Sensor_flag"": 1, ""TempC_DS18B20"": 32.76}"
2025-09-18 02:04:19.291279352+00:00,dds75-lb-21,2,-37,8.0,"{""Bat"": 3.333, ""Distance_mm"": 721, ""Interrupt_flag"": 0, ""Node_type"": ""DDS75-LB"", ""Sensor_flag"": 1, ""TempC_DS18B20"": 32.76}"
2025-09-18 02:24:19.067408584+00:00,dds75-lb-21,2,-39,10.0,"{""Bat"": 3.333, ""Distance_mm"": 721, ""Interrupt_flag"": 0, ""Node_type"": ""DDS75-LB"", ""Sensor_flag"": 1, ""TempC_DS18B20"": 32.76}"
2025-09-18 02:44:18.838545472+00:00,dds75-lb-21,2,-37,9.5,"{""Bat"": 3.333, ""Distance_mm"": 721, ""Interrupt_flag"": 0, ""Node_type"": ""DDS75-LB"", ""Sensor_flag"": 1, ""TempC_DS18B20"": 32.76}"
2025-09-18 03:04:18.618796555+00:00,dds75-lb-21,2,-120,-3.75,"{""Bat"": 3.333, ""Distance_mm"": 721, ""Interrupt_flag"": 0, ""Node_type"": ""DDS75-LB"", ""Sensor_flag"": 1, ""TempC_DS18B20"": 32.76}"
