device_id,records,last_seen,status
dds75-lb-001,38895,2025-10-18 04:29:45Z,OK
dds75-lb-02,823,2025-10-18 04:22:37Z,OK
dds75-lb-03,849,2025-10-18 03:58:20Z,OK
dds75-lb-04,829,2025-10-18 04:20:58Z,OK
dds75-lb-05,38704,2025-10-18 04:29:10Z,OK
dds75-lb-06,855,2025-10-18 03:45:24Z,OK
dds75-lb-07,808,2025-10-18 03:42:10Z,OK
dds75-lb-08,813,2025-10-18 04:21:58Z,OK
dds75-lb-09,794,2025-10-18 04:20:34Z,OK
dds75-lb-10,38782,2025-10-18 04:30:21Z,OK
dds75-lb-11,807,2025-10-18 03:41:56Z,OK
dds75-lb-12,799,2025-10-18 04:21:09Z,OK
dds75-lb-13,832,2025-10-18 04:22:29Z,OK
dds75-lb-14,853,2025-10-18 03:38:26Z,OK
dds75-lb-15,39128,2025-10-18 04:29:57Z,OK
dds75-lb-16,805,2025-10-18 03:57:56Z,OK
dds75-lb-17,38374,2025-10-18 04:30:00Z,OK
dds75-lb-18,804,2025-10-18 03:58:58Z,OK
dds75-lb-19,830,2025-10-18 04:21:11Z,OK
dds75-lb-20,38686,2025-10-18 04:30:51Z,OK
dds75-lb-21,38946,2025-10-18 04:31:02Z,OK
ps-lb-01,1097,2025-10-18 03:58:59Z,OK
ps-lb-02,1181,2025-10-18 04:26:39Z,OK
ps-lb-03,1158,2025-10-18 04:29:52Z,OK
ps-lb-04,1100,2025-10-18 03:52:34Z,OK
ps-lb-05,1129,2025-10-18 03:49:03Z,OK
ps-lb-06,1126,2025-10-18 04:06:30Z,OK
ps-lb-07,1127,2025-10-18 03:49:26Z,OK
ps-lb-08,1127,2025-10-18 03:47:20Z,OK
ps-lb-09,1156,2025-10-18 04:27:01Z,OK
ps-lb-10,1186,2025-10-18 04:03:22Z,OK
ps-lb-11,1144,2025-10-18 04:26:14Z,OK
ps-lb-12,1149,2025-10-18 03:46:40Z,OK
ps-lb-13,2945,2025-10-18 04:27:44Z,OK
ps-lb-14,1120,2025-10-18 04:27:27Z,OK
ps-lb-15,1157,2025-10-18 04:25:16Z,OK
ps-lb-16,1164,2025-10-18 04:11:18Z,OK
ps-lb-17,4157,2025-10-18 04:22:07Z,OK
ps-lb-18,1065,2025-10-18 04:27:31Z,OK
ps-lb-19,1179,2025-10-18 04:26:38Z,OK
ps-lb-20,1193,2025-10-18 03:51:18Z,OK
ps-lb-21,1020,2025-10-18 04:26:07Z,OK
sensecap-01,0,–,NO DATA
tracker,0,–,NO DATA
wisetrack,0,–,NO DATA
