dds75-lb-001             |     0 rec | last: –                    | NO DATA
dds75-lb-02              |     0 rec | last: –                    | NO DATA
dds75-lb-03              |     0 rec | last: –                    | NO DATA
dds75-lb-04              |     0 rec | last: –                    | NO DATA
dds75-lb-05              |     0 rec | last: –                    | NO DATA
dds75-lb-06              |     0 rec | last: –                    | NO DATA
dds75-lb-07              |     0 rec | last: –                    | NO DATA
dds75-lb-08              |     0 rec | last: –                    | NO DATA
dds75-lb-09              |     0 rec | last: –                    | NO DATA
dds75-lb-10              |     0 rec | last: –                    | NO DATA
dds75-lb-11              |     0 rec | last: –                    | NO DATA
dds75-lb-12              |     0 rec | last: –                    | NO DATA
dds75-lb-13              |     0 rec | last: –                    | NO DATA
dds75-lb-14              |  1198 rec | last: 2025-11-12 09:32:15Z | OK
dds75-lb-15              | 61504 rec | last: 2025-11-12 09:55:31Z | OK
dds75-lb-16              |  1126 rec | last: 2025-11-12 08:13:21Z | OK
dds75-lb-17              | 59741 rec | last: 2025-11-12 09:54:14Z | OK
dds75-lb-18              |  1124 rec | last: 2025-11-12 08:53:05Z | OK
dds75-lb-19              |  1081 rec | last: 2025-11-12 08:15:23Z | OK
dds75-lb-21              | 60453 rec | last: 2025-11-12 09:58:51Z | OK
ps-lb-01                 |  1457 rec | last: 2025-11-12 09:53:18Z | OK
ps-lb-02                 |  1549 rec | last: 2025-11-12 09:19:59Z | OK
ps-lb-03                 |  1484 rec | last: 2025-11-12 09:25:38Z | OK
ps-lb-04                 |  1452 rec | last: 2025-11-12 08:47:11Z | OK
ps-lb-05                 |  1458 rec | last: 2025-11-12 09:42:53Z | OK
ps-lb-06                 |  1457 rec | last: 2025-11-12 09:03:39Z | OK
ps-lb-07                 |  1457 rec | last: 2025-11-12 08:42:56Z | OK
ps-lb-08                 |  1441 rec | last: 2025-11-12 09:02:43Z | OK
ps-lb-09                 |  1500 rec | last: 2025-11-12 09:21:27Z | OK
ps-lb-10                 |  1535 rec | last: 2025-11-12 09:57:06Z | OK
ps-lb-11                 |  1403 rec | last: 2025-11-12 09:02:12Z | OK
ps-lb-12                 |  1428 rec | last: 2025-11-12 09:59:39Z | OK
ps-lb-13                 |  3238 rec | last: 2025-11-12 07:22:32Z | OK
ps-lb-14                 |  1436 rec | last: 2025-11-12 08:03:30Z | OK
ps-lb-15                 |  1480 rec | last: 2025-11-12 09:20:28Z | OK
ps-lb-16                 |  1492 rec | last: 2025-11-12 09:26:05Z | OK
ps-lb-17                 |  4417 rec | last: 2025-11-12 08:08:36Z | OK
ps-lb-18                 |  1361 rec | last: 2025-11-12 08:23:31Z | OK
ps-lb-19                 |  1463 rec | last: 2025-11-12 09:03:07Z | OK
ps-lb-20                 |  1530 rec | last: 2025-11-12 09:27:08Z | OK
ps-lb-21                 |  1308 rec | last: 2025-11-12 09:43:23Z | OK
sensecap-01              |     0 rec | last: –                    | NO DATA
tracker-1                |     0 rec | last: –                    | NO DATA
