device_id,records,last_seen,status
burgwald-ps-lb-01,113,2025-09-12 18:00:38Z,OK
burgwald-sensecap-01,1069,2025-09-12 18:07:00Z,OK
dds75-lb-001,131,2025-09-12 18:06:18Z,OK
dds75-lb-02,123,2025-09-12 18:07:19Z,OK
dds75-lb-03,117,2025-09-12 17:52:21Z,OK
dds75-lb-04,131,2025-09-12 18:04:45Z,OK
dds75-lb-05,122,2025-09-12 18:07:30Z,OK
dds75-lb-06,123,2025-09-12 18:01:08Z,OK
dds75-lb-07,120,2025-09-12 17:55:31Z,OK
dds75-lb-08,16,2025-09-12 17:57:14Z,OK
dds75-lb-09,16,2025-09-12 18:01:02Z,OK
dds75-lb-10,16,2025-09-12 17:57:48Z,OK
dds75-lb-11,0,–,NO DATA
dds75-lb-12,11,2025-09-12 17:54:40Z,OK
dds75-lb-13,12,2025-09-12 17:53:55Z,OK
dds75-lb-14,12,2025-09-12 17:55:20Z,OK
dds75-lb-15,10,2025-09-12 17:54:47Z,OK
dds75-lb-16,12,2025-09-12 17:55:45Z,OK
dds75-lb-17,12,2025-09-12 17:55:20Z,OK
dds75-lb-18,12,2025-09-12 18:02:22Z,OK
dds75-lb-19,11,2025-09-12 18:02:07Z,OK
